start,end,start_s,end_s,dur_s,peak_dbfs,ref_active,ncc,lag_ms,reason
6:11.89,6:12.06,371.89,372.06,0.17,-81.6,0.96,0.084,377,gate chatter
10:13.30,10:13.50,613.30,613.50,0.20,-49.2,0.71,0.124,473,gate chatter
10:13.70,10:14.05,613.70,614.05,0.35,-8.4,0.91,0.123,696,next to bleed cluster
10:14.38,10:15.32,614.38,615.32,0.94,-10.3,0.28,0.289,181,next to bleed cluster
10:29.14,10:29.39,629.14,629.39,0.25,-20.5,0.86,0.062,272,gate chatter
10:29.61,10:30.13,629.61,630.13,0.52,-13.1,0.94,0.090,505,next to bleed cluster
11:38.26,11:38.42,698.26,698.42,0.16,-44.4,1.00,0.088,69,gate chatter
11:43.91,11:44.22,703.91,704.22,0.31,-37.5,0.97,0.035,263,gate chatter
11:44.49,11:45.01,704.49,705.01,0.52,-42.3,0.94,0.090,21,gate chatter
11:45.39,11:45.45,705.39,705.45,0.06,-72.9,1.00,0.000,,gate chatter
11:59.43,12:00.08,719.43,720.08,0.65,-33.1,1.00,0.106,608,"quiet, reference talking"
12:00.83,12:01.10,720.83,721.10,0.27,-9.6,0.52,0.128,45,next to bleed cluster
12:51.50,12:51.51,771.50,771.51,0.01,-82.6,0.80,0.000,,gate chatter
12:53.97,12:54.29,773.97,774.29,0.32,-31.0,0.44,0.124,24,gate chatter
13:32.51,13:32.52,812.51,812.52,0.01,-83.9,0.86,0.000,,gate chatter
13:32.99,13:33.00,812.99,813.00,0.01,-84.7,0.00,0.000,,next to bleed cluster
14:06.36,14:06.56,846.36,846.56,0.20,-54.9,1.00,0.040,293,gate chatter
14:06.81,14:08.10,846.81,848.10,1.29,-44.9,1.00,0.016,125,sustained low level under reference
14:38.71,14:38.84,878.71,878.84,0.13,-64.7,0.81,0.041,96,gate chatter
14:39.15,14:39.24,879.15,879.24,0.09,-72.3,0.78,0.000,,gate chatter
14:39.57,14:39.75,879.57,879.75,0.18,-62.7,0.96,0.072,608,gate chatter
14:40.44,14:40.59,880.44,880.59,0.15,-70.2,1.00,0.068,307,gate chatter
14:40.80,14:40.82,880.80,880.82,0.02,-72.9,1.00,0.000,,gate chatter
14:40.99,14:41.10,880.99,881.10,0.11,-57.9,1.00,0.034,134,gate chatter
14:41.24,14:41.29,881.24,881.29,0.05,-73.5,0.93,0.000,,gate chatter
14:41.49,14:41.83,881.49,881.83,0.34,-71.6,0.90,0.054,88,gate chatter
14:42.03,14:42.19,882.03,882.19,0.16,-78.1,0.93,0.066,645,gate chatter
14:42.47,14:42.48,882.47,882.48,0.01,-82.4,0.93,0.000,,gate chatter
14:42.61,14:43.27,882.61,883.27,0.66,-53.6,0.93,0.063,576,"quiet, reference talking"
15:53.40,15:54.55,953.40,954.55,1.15,-18.1,0.40,0.125,179,next to bleed cluster
15:54.69,15:55.11,954.69,955.11,0.42,-34.2,0.95,0.045,287,gate chatter
15:55.26,15:55.90,955.26,955.90,0.64,-22.8,1.00,0.056,270,"quiet, reference talking"
15:56.50,15:56.91,956.50,956.91,0.41,-13.8,0.98,0.162,390,waveform matches reference (ncc 0.16)
15:57.08,15:57.72,957.08,957.72,0.64,-34.7,0.99,0.051,208,"quiet, reference talking"
15:57.92,15:58.00,957.92,958.00,0.08,-45.2,1.00,0.000,,gate chatter
15:58.45,15:58.60,958.45,958.60,0.15,-38.3,0.90,0.098,253,gate chatter
15:58.71,15:58.91,958.71,958.91,0.20,-58.4,0.91,0.080,645,gate chatter
18:16.02,18:16.25,1096.02,1096.25,0.23,-30.4,0.95,0.090,275,gate chatter
18:17.11,18:17.25,1097.11,1097.25,0.14,-26.4,0.74,0.104,677,gate chatter
23:16.96,23:17.02,1396.96,1397.02,0.06,-61.2,0.75,0.000,,gate chatter
23:20.89,23:20.96,1400.89,1400.96,0.07,-49.0,1.00,0.000,,gate chatter
23:21.84,23:22.22,1401.84,1402.22,0.38,-9.1,0.99,0.069,225,next to bleed cluster
23:40.73,23:40.80,1420.73,1420.80,0.07,-73.0,1.00,0.000,,gate chatter
23:41.06,23:41.25,1421.06,1421.25,0.19,-59.2,1.00,0.099,501,gate chatter
23:41.38,23:41.41,1421.38,1421.41,0.03,-79.7,1.00,0.000,,gate chatter
23:41.77,23:41.97,1421.77,1421.97,0.20,-60.6,1.00,0.067,82,gate chatter
23:42.17,23:42.35,1422.17,1422.35,0.18,-45.1,1.00,0.023,270,gate chatter
23:42.56,23:42.72,1422.56,1422.72,0.16,-51.1,1.00,0.043,178,gate chatter
23:42.87,23:43.00,1422.87,1423.00,0.13,-62.8,1.00,0.029,129,gate chatter
23:43.14,23:43.70,1423.14,1423.70,0.56,-60.8,1.00,0.044,362,gate chatter
23:43.93,23:44.14,1423.93,1424.14,0.21,-45.6,1.00,0.051,130,gate chatter
23:44.25,23:44.42,1424.25,1424.42,0.17,-55.7,0.96,0.022,673,gate chatter
23:44.80,23:45.39,1424.80,1425.39,0.59,-47.6,0.98,0.063,267,gate chatter
23:45.57,23:45.72,1425.57,1425.72,0.15,-76.0,0.96,0.056,297,gate chatter
23:45.99,23:46.06,1425.99,1426.06,0.07,-50.4,0.95,0.000,,gate chatter
23:46.33,23:46.70,1426.33,1426.70,0.37,-56.3,0.88,0.046,654,gate chatter
23:46.83,23:46.92,1426.83,1426.92,0.09,-59.4,0.89,0.000,,gate chatter
23:47.07,23:47.14,1427.07,1427.14,0.07,-75.5,0.94,0.000,,gate chatter
23:47.37,23:47.90,1427.37,1427.90,0.53,-48.6,0.95,0.029,675,gate chatter
23:48.15,23:48.17,1428.15,1428.17,0.02,-82.3,0.82,0.000,,gate chatter
23:48.44,23:48.91,1428.44,1428.91,0.47,-57.3,0.73,0.036,690,gate chatter
23:49.07,23:49.33,1429.07,1429.33,0.26,-61.1,0.90,0.024,332,gate chatter
23:50.27,23:50.30,1430.27,1430.30,0.03,-76.0,0.84,0.000,,gate chatter
23:50.81,23:51.26,1430.81,1431.26,0.45,-11.5,1.00,0.051,219,next to bleed cluster
